team,seed,region,oddsToAdvance_64,oddsToAdvance_32,oddsToAdvance_16,oddsToAdvance_8,oddsToAdvance_4,oddsToAdvance_2,oddsToAdvance_1
connecticut,1,east,1,0.9950223597,0.8940131736,0.7260811757,0.5668157904,0.3614773433,0.225714406
stetson,16,east,1,0.004977640332,0.0006616097174,0.0000566583853,0.000004156297441,0.000000276283988,0.0000000189529984
floridaatlantic,8,east,1,0.6546734873,0.08224670717,0.035146474,0.01356712275,0.004701132705,0.001592863084
northwestern,9,east,1,0.3453265127,0.02307850947,0.007192289203,0.001999636126,0.0005336032338,0.0001408681699
sandiegost,5,east,1,0.7805793454,0.3151851981,0.04495796509,0.01559581756,0.006744756966,0.002853208449
uab,12,east,1,0.2194206546,0.03976290235,0.002739885662,0.0005541952738,0.0001037343651,0.0000192704622
auburn,4,east,1,0.8579224987,0.5979942953,0.1784260946,0.1011206675,0.05272509465,0.02695440024
yale,13,east,1,0.1420775013,0.04705760426,0.005399457428,0.001609189531,0.0003171936307,0.00006206012056
brighamyoung,6,east,1,0.7633181068,0.2979956491,0.1176477365,0.02448451767,0.010950693,0.004820556657
duquesne,11,east,1,0.2366818932,0.04395933343,0.01077138219,0.001234638819,0.0002374236346,0.00004566289058
illinois,3,east,1,0.9184706323,0.6390849175,0.3462953974,0.1102611111,0.05399401322,0.02587116981
moreheadst,14,east,1,0.08152936765,0.01896010002,0.003058429163,0.0002132028615,0.00002892509748,0.000003955288513
washingtonst,7,east,1,0.4375671424,0.0964897528,0.0312264521,0.00469541721,0.001587948688,0.0005301126363
drake,10,east,1,0.5624328576,0.1471901125,0.04906848382,0.00761779441,0.002295825565,0.0006805556661
iowast,2,east,1,0.9474857615,0.7438493753,0.4403580417,0.1501489065,0.08065754855,0.04249645977
southdakotast,15,east,1,0.05251423853,0.01247075932,0.001574077155,0.00007783594962,0.000009644256559,0.000001207534667
northcarolina,1,west,1,0.9868346045,0.6644942218,0.406569798,0.1925541338,0.0771233745,0.03647507347
howard,16,west,0.5862389855,0.009347647335,0.0005589891303,0.00003533686998,0.000001424336041,0.00000004058168048,0.000000001994189809
wagner,16,west,0.4137610145,0.003817748149,0.0001512849327,0.000007060582884,0.0000002106780562,0.000000004404901241,0.0000000001663459712
mississippist,8,west,1,0.4508665454,0.1412687097,0.06924031009,0.0250809202,0.007559302318,0.002821719965
michiganst,9,west,1,0.5491334546,0.1935267944,0.1019448974,0.04007123573,0.01297307049,0.005115180722
saintmarys,5,west,1,0.6461040376,0.3197798886,0.1401213022,0.05452415544,0.01611954603,0.005905941907
grandcanyon,12,west,1,0.3538959624,0.1299298504,0.04223965506,0.01228184363,0.003595810585,0.00131442626
alabama,4,west,1,0.7963087028,0.4857928124,0.2265648505,0.09388859501,0.0325596846,0.01364864463
charleston,13,west,1,0.2036912972,0.06449744862,0.01327678927,0.002475657418,0.0003567951266,0.00007100977932
clemson,6,west,1,0.5042546084,0.2029945774,0.05217720806,0.01874272752,0.004372126265,0.001314808875
newmexico,11,west,1,0.4957453916,0.1979739743,0.06316227118,0.02723572965,0.00819919083,0.003063621477
baylor,3,west,1,0.8868732665,0.5732542063,0.231504703,0.12066433,0.04583654234,0.02072733505
colgate,14,west,1,0.1131267335,0.02577724203,0.002586619992,0.0004065798378,0.00003653997808,0.000004853405191
dayton,7,west,1,0.4686891107,0.09731163114,0.03758855722,0.01306241219,0.002931783823,0.0008542886204
nevada,10,west,1,0.5313108893,0.1212176888,0.05309973936,0.02108701912,0.005201871962,0.001644867165
arizona,2,west,1,0.9664899562,0.774900577,0.5585333249,0.377678451,0.2067503183,0.1268491254
longbeachst,15,west,1,0.0335100438,0.006570103097,0.001347576236,0.0002445743658,0.00001884072277,0.00000220555204
houston,1,south,1,0.9669708433,0.7211128301,0.5081982697,0.3545901144,0.1936518843,0.0973681516
longwood,16,south,1,0.0330291567,0.004847636752,0.00060112801,0.00007603650352,0.000006198944541,0.0000004806444992
nebraska,8,south,1,0.4749417972,0.1259685926,0.05614624786,0.02494008381,0.008355925338,0.002570560437
texasam,9,south,1,0.5250582028,0.1480709406,0.07361984633,0.03626429933,0.01226736904,0.003781149582
wisconsin,5,south,1,0.662800771,0.2863521349,0.09895983819,0.0483953181,0.01802825203,0.00613702176
jamesmadison,12,south,1,0.337199229,0.1001391388,0.01914891998,0.005940650325,0.001299307234,0.0002624487754
duke,4,south,1,0.8375567586,0.5607107785,0.236343677,0.1336619711,0.05915951247,0.02386167569
vermont,13,south,1,0.1624432414,0.05279794781,0.006982072871,0.001606496561,0.0002619146963,0.0000395824788
texastech,6,south,1,0.5244154782,0.1787734086,0.08197537314,0.02886212454,0.01047037045,0.003483795928
northcarolinast,11,south,1,0.4755845218,0.1528540251,0.04919716631,0.01159031548,0.002693631516,0.0005749916406
kentucky,3,south,1,0.9064818448,0.6446058813,0.3444069009,0.1442827615,0.05787486186,0.02115975648
oakland,14,south,1,0.09351815522,0.02376668507,0.003268437334,0.0003092684612,0.0000297630389,0.00000271659333
florida,7,south,1,0.5141901421,0.1807165908,0.07685494693,0.02328186025,0.006749814644,0.001790631134
colorado,10,south,0.5925570215,0.3088978901,0.1145269731,0.05433516571,0.0187744132,0.007027966822,0.002408729672
boisest,10,south,0.4074429785,0.1769119678,0.05297788162,0.02057321019,0.005606276573,0.001779120055,0.0005178863147
marquette,2,south,1,0.9083072847,0.6302035513,0.3657621681,0.1614359452,0.06955363171,0.02731630972
westernkentucky,15,south,1,0.09169271531,0.02157500329,0.003626631332,0.0003820645953,0.00003855032279,0.000003660653662
purdue,1,midwest,1,0.9914958411,0.8549279577,0.6516146793,0.442565291,0.2760092853,0.1451707974
montanast,16,midwest,0.6232154466,0.006596852568,0.0009694940218,0.0001025512269,0.00000836289118,0.0000006507308894,0.00000003707403274
gramblingst,16,midwest,0.3767845534,0.001907306295,0.0001844671215,0.00001222815722,0.000000624826533,0.00000003750617871,0.000000001651807315
utahst,8,midwest,1,0.372194237,0.03894729053,0.0135351575,0.003793365711,0.001327749738,0.0003657385022
tcu,9,midwest,1,0.627805763,0.1049707906,0.04708197887,0.01737025798,0.007024420886,0.002261440533
gonzaga,5,midwest,1,0.8495108756,0.5166574002,0.1487869923,0.0634560849,0.03044993804,0.01183847137
mcneesest,12,midwest,1,0.1504891244,0.03996503033,0.004342968129,0.0008596472275,0.0001912569951,0.00003287755682
kansas,4,midwest,1,0.8112937609,0.4018657416,0.1295232659,0.05996870535,0.02798890561,0.01048310348
samford,13,midwest,1,0.1887062391,0.04151182783,0.005000178606,0.001068126184,0.000225316508,0.00003619723551
southcarolina,6,midwest,1,0.5734146686,0.1887280566,0.05326041597,0.01244822553,0.003585634037,0.0008040238977
oregon,11,midwest,1,0.4265853314,0.1160927313,0.02796346912,0.005526289663,0.00181835882,0.0004679222605
creighton,3,midwest,1,0.8511694337,0.6375882947,0.321349679,0.1367546699,0.0714786671,0.03061416074
akron,14,midwest,1,0.1488305663,0.05759091737,0.01026780055,0.001498851324,0.0002313469829,0.0000266259122
texas,7,midwest,1,0.6492026225,0.2031819835,0.09817921941,0.03155515147,0.01414853639,0.005101948911
virginia,10,midwest,0.5530825043,0.2084530461,0.04659915391,0.01723625465,0.003953795904,0.001144517595,0.00025592086650.9935302734
coloradost,10,midwest,0.4469174957,0.1423443314,0.02627480809,0.009189057493,0.001984853227,0.0006802945772,0.0001846177557
tennessee,2,midwest,1,0.9750466143,0.7208852679,0.4622049014,0.2171675208,0.1144455468,0.04947660762
saintpeters,15,midwest,1,0.02495338565,0.003058786632,0.0003492023652,0.00002017610259,0.000001461896735,0.0000000779210934